date,host,nationality,N
2007-13,UK,UK,536
2007-13,UK,DE,74
2007-13,UK,IT,53
2007-13,UK,US,50
2007-13,UK,NL,27
2007-13,UK,FR,23
2007-13,UK,IE,19
2007-13,UK,ES,19
2007-13,UK,EL,17
2007-13,UK,CA,14
2007-13,UK,AU,10
2007-13,UK,BE,9
2007-13,UK,IN,9
2007-13,UK,CH,8
2007-13,UK,AT,7
2007-13,UK,PT,7
2007-13,UK,IL,6
2007-13,UK,FI,6
2007-13,UK,RU,6
2007-13,UK,PL,5
2007-13,UK,JP,5
2007-13,UK,HU,5
2007-13,UK,DK,5
2007-13,UK,Other,44
2007-13,DE,DE,455
2007-13,DE,IT,18
2007-13,DE,UK,18
2007-13,DE,AT,17
2007-13,DE,US,17
2007-13,DE,NL,11
2007-13,DE,FR,7
2007-13,DE,IL,6
2007-13,DE,CH,6
2007-13,DE,EL,6
2007-13,DE,Other,55
2007-13,FR,FR,418
2007-13,FR,IT,29
2007-13,FR,DE,24
2007-13,FR,US,14
2007-13,FR,UK,12
2007-13,FR,BE,11
2007-13,FR,ES,8
2007-13,FR,PT,7
2007-13,FR,NL,5
2007-13,FR,Other,43
2007-13,NL,NL,264
2007-13,NL,DE,20
2007-13,NL,BE,14
2007-13,NL,IT,12
2007-13,NL,US,7
2007-13,NL,FR,6
2007-13,NL,Other,29
2007-13,CH,CH,85
2007-13,CH,DE,56
2007-13,CH,IT,32
2007-13,CH,FR,28
2007-13,CH,US,25
2007-13,CH,UK,14
2007-13,CH,EL,12
2007-13,CH,AT,9
2007-13,CH,ES,8
2007-13,CH,BE,7
2007-13,CH,NL,5
2007-13,CH,Other,42
2007-13,IT,IT,233
2007-13,IT,DE,6
2007-13,IT,Other,19
2007-13,IL,IL,236
2007-13,IL,Other,8
2007-13,ES,ES,173
2007-13,ES,IT,15
2007-13,ES,DE,10
2007-13,ES,NL,5
2007-13,ES,Other,27
2007-13,SE,SE,106
2007-13,SE,DE,8
2007-13,SE,DK,6
2007-13,SE,Other,34
2007-13,BE,BE,131
2007-13,BE,NL,5
2007-13,BE,Other,16
2007-13,AT,DE,39
2007-13,AT,AT,32
2007-13,AT,Other,40
2007-13,DK,DK,59
2007-13,DK,Other,22
2014-20,UK,UK,548
2014-20,UK,DE,95
2014-20,UK,IT,80
2014-20,UK,US,73
2014-20,UK,ES,37
2014-20,UK,FR,35
2014-20,UK,CA,28
2014-20,UK,NL,26
2014-20,UK,IN,25
2014-20,UK,IE,21
2014-20,UK,AU,20
2014-20,UK,EL,19
2014-20,UK,PT,18
2014-20,UK,CN,13
2014-20,UK,AT,12
2014-20,UK,NZ,11
2014-20,UK,CH,11
2014-20,UK,PL,8
2014-20,UK,JP,8
2014-20,UK,HU,8
2014-20,UK,DK,8
2014-20,UK,BE,8
2014-20,UK,IL,7
2014-20,UK,CY,5
2014-20,UK,RO,5
2014-20,UK,FI,5
2014-20,UK,Other,58
2014-20,DE,DE,785
2014-20,DE,US,40
2014-20,DE,IT,36
2014-20,DE,AT,29
2014-20,DE,ES,25
2014-20,DE,NL,22
2014-20,DE,FR,20
2014-20,DE,UK,19
2014-20,DE,CH,17
2014-20,DE,EL,16
2014-20,DE,CN,12
2014-20,DE,JP,8
2014-20,DE,TR,6
2014-20,DE,LU,6
2014-20,DE,RU,6
2014-20,DE,CA,5
2014-20,DE,PT,5
2014-20,DE,BE,5
2014-20,DE,IN,5
2014-20,DE,Other,57
2014-20,FR,FR,521
2014-20,FR,IT,47
2014-20,FR,DE,25
2014-20,FR,ES,20
2014-20,FR,US,15
2014-20,FR,UK,14
2014-20,FR,CA,12
2014-20,FR,EL,9
2014-20,FR,BE,7
2014-20,FR,RO,5
2014-20,FR,RU,5
2014-20,FR,PT,5
2014-20,FR,Other,49
2014-20,NL,NL,360
2014-20,NL,DE,50
2014-20,NL,IT,29
2014-20,NL,US,19
2014-20,NL,UK,18
2014-20,NL,BE,17
2014-20,NL,CA,12
2014-20,NL,FR,11
2014-20,NL,ES,8
2014-20,NL,AT,7
2014-20,NL,EL,7
2014-20,NL,CH,6
2014-20,NL,CN,6
2014-20,NL,RU,5
2014-20,NL,AU,5
2014-20,NL,Other,41
2014-20,CH,CH,135
2014-20,CH,DE,93
2014-20,CH,IT,46
2014-20,CH,FR,28
2014-20,CH,US,21
2014-20,CH,NL,11
2014-20,CH,HU,8
2014-20,CH,UK,8
2014-20,CH,EL,8
2014-20,CH,BE,8
2014-20,CH,ES,8
2014-20,CH,AT,7
2014-20,CH,CZ,6
2014-20,CH,PL,6
2014-20,CH,TR,5
2014-20,CH,CA,5
2014-20,CH,Other,53
2014-20,ES,ES,270
2014-20,ES,IT,27
2014-20,ES,FR,10
2014-20,ES,UK,9
2014-20,ES,US,9
2014-20,ES,NL,7
2014-20,ES,Other,38
2014-20,IT,IT,321
2014-20,IT,UK,7
2014-20,IT,US,6
2014-20,IT,DE,5
2014-20,IT,Other,25
2014-20,IL,IL,337
2014-20,IL,DE,5
2014-20,IL,Other,8
2014-20,BE,BE,186
2014-20,BE,DE,14
2014-20,BE,IT,10
2014-20,BE,NL,6
2014-20,BE,FR,6
2014-20,BE,UK,5
2014-20,BE,ES,5
2014-20,BE,Other,11
2014-20,SE,SE,133
2014-20,SE,DE,18
2014-20,SE,IT,12
2014-20,SE,US,9
2014-20,SE,UK,7
2014-20,SE,FI,6
2014-20,SE,CN,6
2014-20,SE,ES,6
2014-20,SE,DK,5
2014-20,SE,FR,5
2014-20,SE,Other,27
2014-20,AT,AT,77
2014-20,AT,DE,47
2014-20,AT,IT,14
2014-20,AT,US,8
2014-20,AT,HU,6
2014-20,AT,CH,6
2014-20,AT,RU,5
2014-20,AT,Other,45
2014-20,DK,DK,87
2014-20,DK,DE,14
2014-20,DK,US,8
2014-20,DK,UK,7
2014-20,DK,SE,5
2014-20,DK,Other,36
